"Gene","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C22orf39","C22orf39|Q6P5X5",0.10550180929096,17.2697871802818,1.11370941247444,0.26580900711619,0.55946661318522,-6.11439748287947
"C2CD3","C2CD3|Q4AC94",0.195509059574647,16.512384306493,1.131008584696,0.259552226259776,0.5545828143824,-5.50250057598857
"C4BPB","C4BPB|P20851",0.208560740691563,18.2744039893236,1.72435922256035,0.0851173672967636,0.284043349293694,-5.25551363358377
"CAPNS2","CAPNS2|Q96L46",-0.628972354820373,16.5000181459071,-1.40642095597426,0.165494340414019,0.431156307920734,-4.66597175631859
"CASP9","CASP9|P55211",0.0847258114920599,18.2240132890439,1.01628670594982,0.30985092415497,0.58878180938756,-6.25486282514562
"CAV1","CAV1|Q03135",0.208310230773971,24.0916494598544,3.4991377828749,0.000490029704281843,0.00400911901774049,-0.880709077031778
"CCDC174","CCDC174|Q6PII3",0.392274984621888,16.7001405109144,2.64529356974613,0.00862234759950707,0.0434040209670102,-2.9698667245541
"CCDC186","CCDC186|Q7Z3E2",-0.100290603716676,19.4259044321754,-1.32470357829408,0.185611257291653,0.464115808954907,-6.03859688477185
"CD209","CD209|Q9NNX6",-0.134232090775946,16.7763518959487,-0.780657046887903,0.435412444298752,0.715672097798282,-6.26921617032318
"CD302","CD302|Q8IX05",0.250116967267346,17.6612255032684,2.15959731773544,0.0311925533367774,0.126906689603053,-4.41236536299332
"CD5L","CD5L|O43866",0.0566013810495605,20.1427338696505,0.685222948488142,0.493406182211077,0.751654097998644,-6.60006040508267
"CDK5R1","CDK5R1|Q15078",-0.167710417956119,17.8675250280891,-1.412593275658,0.158186074944065,0.423254632958445,-5.83584956642972
"CDK5RAP1","CDK5RAP1|Q96SZ6",-0.196638157940459,17.4174444068553,-1.54593684721407,0.122796499934674,0.376864791813365,-5.42582827343929
"CEP112","CEP112|Q8N8E3",0.0180881194201987,16.6004544822867,0.107732001569365,0.91428240339736,0.978856067893137,-6.32499176889307
"CFHR2","CFHR2|P36980",0.327671998022698,18.6158893177367,2.8887204676285,0.00398999807548524,0.0227890274695984,-2.65810078737369
"CIT","CIT|O14578",-0.130999821044089,26.1615985119102,-3.84807951541295,0.000127594738447913,0.00135341561853679,0.370724829563316
"CNOT11","CNOT11|Q9UKZ1",0.0646058303747203,19.8098674285888,1.05388543163899,0.29223189708076,0.576619272676817,-6.33894128924579
"COG5","COG5|Q9UP83",0.0157560359643902,21.8896952511633,0.319514668858235,0.749411636372311,0.950995902723911,-6.85692669093691
"COL23A1","COL23A1|Q86Y22",0.113308960156502,20.5973086615868,0.626115705112956,0.531412347148522,0.77856132468195,-6.67384060441384
"COPS9","COPS9|Q8WXC6",0.209558776017253,20.0317042946319,1.89905908452588,0.0579151078661715,0.20761783312128,-5.0630917787065
"COQ8B","COQ8B|Q96D53",-0.115914396491576,18.0874858048712,-1.14898799511728,0.250940126443733,0.548008952601388,-6.1520470611351
"COX11","COX11|Q9Y6N1",-0.061015544834671,20.4660401936905,-0.93058507776564,0.352321870639033,0.638046314510932,-6.47850416624256
"CPLX3","CPLX3|Q8WVH0",-0.0483993642998009,21.2805855928186,-0.799234146660569,0.424368988197856,0.712076776806572,-6.59102737190387
"CPNE8","CPNE8|Q86YQ8",-0.0447865029663035,22.8890859511291,-1.24352208207814,0.214004633935095,0.508475010229785,-6.14174331125124
"CSMD1","CSMD1|Q96PZ7",-0.0115192604005472,21.2446295621926,-0.185496787460603,0.852881881320262,0.974253533661992,-6.89047038414129
"CTIF","CTIF|O43310",-0.000298425242586831,21.9597152465659,-0.0079580048229117,0.993652290351162,0.997009223764511,-6.9074937288489
"CTSL","CTSL|P07711",-0.099423833224769,21.8014331476107,-1.30506550517641,0.192209577445972,0.464115808954907,-6.06414398852342
"CTSZ","CTSZ|Q9UBR2",0.0470200578646498,22.8754188251351,1.09046115464588,0.27580670511792,0.56885132930571,-6.31853664796662
"CUTC","CUTC|Q9NTM9",0.0865025199966993,20.5320483342352,1.51476126843996,0.130195467199743,0.386680537583237,-5.76136311937996
"DACT3","DACT3|Q96B18",0.0461582525424689,20.1324552235125,0.667721295080768,0.504488296903494,0.760573726803745,-6.6773053704538
"DBI","DBI|P07108",0.454252499978121,26.8204267962897,8.68864817961407,1.75197408817817e-17,5.20336304188918e-15,28.9862122364653
"DCC","DCC|P43146",-0.050133350291766,21.7428869557323,-0.901100167596366,0.367780082960544,0.648110051408006,-6.50524752932234
"DCUN1D1","DCUN1D1|Q96GG9",-0.0460062296653199,24.1618888145674,-1.73873148621226,0.0824295699366886,0.281436570768653,-5.41164036407847
"DDA1","DDA1|Q9BW61",-0.328203481869064,19.4786055390299,-4.01053827820618,6.56906888974079e-05,0.000812922275105422,0.992574375614484
"DDX3Y","DDX3Y|O15523",-0.00556695310523736,19.419737718835,-0.050697981739712,0.959577789105424,0.987734395560536,-6.89968146952693
"DENND1A","DENND1A|Q8TEH3",-0.0244951286376995,23.2458494630438,-0.757327248057842,0.449055307772065,0.723397002623226,-6.62333702988168
"DEPTOR","DEPTOR|Q8TB45",0.0385823624586941,20.5854783567812,0.700704090361831,0.483671782257371,0.744303208966006,-6.66423277289907
"DHX33","DHX33|Q9H6R0",-0.17783884826294,17.8309594935586,-1.11985229783123,0.26391765466379,0.55946661318522,-5.62373459359973
"DMKN","DMKN|Q6E0U4",0.291777923293555,17.4321322057757,1.02917751622978,0.306518517991967,0.58878180938756,-5.28017494971611
"DNAJA4","DNAJA4|Q8WW22",0.00182946626338776,24.6812665588958,0.0751927656825825,0.940078324271945,0.983110078551999,-6.90472271034252
"DNAJC18","DNAJC18|Q9H819",-0.181410088909463,17.4865460970061,-1.50968899171143,0.132651601938667,0.390074512631526,-5.12412421126052
"DOC2A","DOC2A|Q14183",-0.0368099780988445,23.6578096535011,-1.1654141881004,0.244165215665797,0.545241120697305,-6.23485029293461
"DPYD","DPYD|Q12882",0.224937086676789,17.8910726087853,2.01975920831575,0.0437981051602542,0.164658699146779,-4.75584316611949
"DTD1","DTD1|Q8TEA8",-0.00925522037000093,25.1198014013535,-0.295186236026278,0.767920814736719,0.955811262012758,-6.86433828848711
"ECI2","ECI2|O75521",0.0398808460727302,24.2905819177025,1.10115378661705,0.27112896872871,0.563114011975013,-6.30693725583861
"EIF2B3","EIF2B3|Q9NR50",0.0530874737668654,23.321208554575,2.19390884451717,0.0285011847782649,0.120926455416353,-4.52833805330154
"ENTPD1","ENTPD1|P49961",0.245904056281567,21.2720409446284,3.38239879147146,0.000751055249939988,0.00544057095688235,-1.25687804047372
"EPB41","EPB41|P11171",0.157468052968127,23.83146131214,5.14981880468909,3.21422835810986e-07,7.95521518632191e-06,6.04269414990223
"EPB41L5","EPB41L5|Q9HCM4",0.137964688735124,21.4602706043776,2.86059086526631,0.00432800486933485,0.0242531593621217,-2.87038810843209
"ERLIN1","ERLIN1|O75477",0.0689427922395609,21.8200660523456,1.73866648809022,0.0824410156797066,0.281436570768653,-5.41175200956515
"ETNPPL","ETNPPL|Q8TBG4",0.0361895330181952,20.8335578576808,0.557821712640652,0.57710713168075,0.820099608177908,-6.75332152895932
"EVI5","EVI5|O60447",0.0128975869131516,20.131214551681,0.148597131382131,0.881907012447709,0.97733724886929,-6.86691596762466
"EXD2","EXD2|Q9NVH0",0.0654820429595517,21.7653880244866,1.23323760542154,0.21781440852114,0.510196384430017,-6.15434671517098
